Body Mass (g),Basal Metabolic Rate (W)
2725.0,2404.0
10300.0,6778.0
693.0,1082.0
329.0,1255.0
935.0,2549.0
1165.0,3185.0
2488.0,4641.0
13.0,106.0
812.0,2265.0
122.0,547.0
336.0,1144.0
75.5,318.0
104.0,335.0
751.0,1886.0
34.0,119.0
25.8,141.0
46.5,252.0
28.2,189.0
66.9,351.0
101.0,285.0
118.2,462.0
1354.0,3172.0
558.0,1356.0
1782.0,3281.0
982.0,2.21
400.0,794.0
11.6,88.0
157.0,0.71
9.1,39.0
7.1,63.0
13.1,74.0
7.1,63.0
43.1,152.0
5775.0,7394.0
16.4,0.14
19.35,126.0
19.0,0.12
695.0,1838.0
1276.0,3018.0
428.0,837.0
1551.0,3202.0
717.0,1238.0
1294.0,2.51
837.0,2343.0
645.0,1763.0
4765.0,5768.0
29917.0,16.69
44.3,205.0
18.6,125.0
12.6,105.0
70.0,336.0
4250.0,6164.0
2005.0,4081.0
1141.0,3202.0
916.0,2402.0
166.0,574.0
127.0,502.0
10.0,162.0
14.0,84.0
2820.0,5978.0
1385.0,3578.0
1018.0,3132.0
976.0,2323.0
6960.0,7.96
2660.0,4749.0
4796.0,7.78
29300.0,31.71
32490.0,32625.0
2674.0,4654.0
48000.0,34275.0
165223.0,64.52
116.4,0.75
6.9,43.0
133.0,358.0
450.0,628.0
77.7,312.0
12.2,179.0
44.6,315.0
44.0,243.0
530.0,0.68
650.0,729.0
70.0,473.0
44.0,287.0
20.0,56.0
45.3,244.0
50.0,304.0
46.49,0.29
62.97,0.37
45.31,267.0
53.0,317.0
39.0,292.0
206.1,1001.0
2210.0,4.19
2000.0,4017.0
2750.0,6354.0
4330.0,5116.0
2150.0,3118.0
1110.0,1707.0
4540.0,4508.0
3510.0,4825.0
8190.0,6901.0
45190.0,16892.0
1160.0,1172.0
1740.0,2192.0
3790.0,3827.0
3770.0,3364.0
240.0,636.0
30600.0,14543.0
3977.0,5534.0
3500.0,5015.0
123.0,522.0
260.6,1.25
57.5,0.24
300.0,1088.0
2330.0,4162.0
3350.0,3738.0
206.0,731.0
284.0,714.0
1160.0,1523.0
964.0,1824.0
261.5,1205.0
63.8,329.0
170.0,285.0
171.5,764.0
950.0,2298.0
1314.0,3927.0
173.0,831.0
113.0,0.43
116.8,631.0
190.0,848.0
225.0,1305.0
875.0,4468.0
820.0,2466.0
4670.0,11464.0
8500.0,18923.0
10450.0,16613.0
3000.0,5958.0
9500.0,14.97
16900.0,27737.0
9500.0,15497.0
630.0,1546.0
95.7,524.0
112.3,2278.0
460.0,1347.0
63.0,0.58
112.3,533.0
60.0,0.57
95.0,0.5
244.0,1011.0
64.25,377.0
230.0,744.0
4295.0,8626.0
2650.0,3696.0
366.6,1452.0
223.6,811.0
624.0,2402.0
440.0,2062.0
320.0,889.0
599.6,1773.0
303.0,0.71
240.0,1272.0
607.0,2.19
237.0,0.8
240.0,629.0
650.0,2901.0
274.0,734.0
252.2,0.9
174.0,514.0
167.0,522.0
229.0,587.0
205.4,783.0
680.0,3721.0
39.0,322.0
57.1,537.0
75.0,0.44
45.8,406.0
